date,real_outstanding_shares,rs_adjusted_os,Open,High,Low,Close,Volume,Dividends,Stock Splits,market_capitalization
2022-03-16,,10192046.8,41.0,44.5,38.0,43.75,6316580,0.0,0.0,445902047.50000006
2022-03-17,,10591790.200000001,52.75,67.0,49.75,61.0,20592892,0.0,0.0,646099202.2
2022-03-18,,10991533.600000001,56.25,80.0,54.75,72.5,18137984,0.0,0.0,796886186.0000001
2022-03-21,284781939.0,11391277.0,87.5,104.5,70.5,80.25,22035648,0.0,0.0,914149979.25
2022-03-22,,11441446.94736842,74.75,90.0,70.75,82.75,10497428,0.0,0.0,946779734.8947368
2022-03-23,,11491616.894736841,81.0,87.25,76.75,77.75,6386752,0.0,0.0,893473213.5657895
2022-03-24,,11541786.842105264,79.0,82.0,73.25,75.0,5098508,0.0,0.0,865634013.1578947
2022-03-25,,11591956.789473685,70.25,72.5,56.5,58.75,7344040,0.0,0.0,681027461.3815789
2022-03-28,,11642126.736842105,61.75,69.5,60.0,61.25,5954472,0.0,0.0,713080262.6315789
2022-03-29,,11692296.684210526,63.75,64.25,55.75,58.75,3008564,0.0,0.0,686922430.1973684
2022-03-30,,11742466.631578946,56.75,78.75,55.0,75.75,13667364,0.0,0.0,889491847.3421052
2022-03-31,,11792636.578947369,80.25,86.25,71.75,74.5,10432860,0.0,0.0,878551425.131579
2022-04-01,,11842806.52631579,69.5,73.75,65.75,71.75,4626172,0.0,0.0,849721368.263158
2022-04-04,,11892976.47368421,75.5,78.0,71.25,71.5,3640504,0.0,0.0,850347817.8684211
2022-04-05,,11943146.421052631,69.25,72.25,66.75,68.0,3056952,0.0,0.0,812133956.6315789
2022-04-06,,11993316.368421052,66.0,69.25,61.25,66.25,3516220,0.0,0.0,794557209.4078947
2022-04-07,,12043486.315789474,63.0,65.5,56.75,59.5,3230124,0.0,0.0,716587435.7894738
2022-04-08,,12093656.263157895,55.25,69.25,53.75,62.75,5714856,0.0,0.0,758876930.5131578
2022-04-11,,12143826.210526315,62.75,71.25,62.0,66.5,3359392,0.0,0.0,807564443.0
2022-04-12,,12193996.157894736,67.0,67.75,60.5,61.75,2133536,0.0,0.0,752979262.75
2022-04-13,,12244166.105263159,60.5,63.25,58.25,60.0,1666476,0.0,0.0,734649966.3157895
2022-04-14,,12294336.05263158,58.25,59.25,52.75,54.0,2194524,0.0,0.0,663894146.8421053
