date,insider,insider_first,insider_last,insider_full_name,insider_position,transaction,type,value,shares,shares_owned,sale_price_per_share,cumulative_sales_value,cumulative_shares,Open,High,Low,Close,Volume,Dividends,Stock Splits,post_reverse_split_shares,days_since_start,cumulative_salary,total_compensation,holdings_market_value,net_worth
2022-10-31,,,,,,,,,,,,2806867.0,43774395.0,12.75,13.5,11.75,12.0,6226868,0.0,0.0,1750975.8,350,719176.5,3526043.5,21011709.6,24537753.1
2022-11-01,,,,,,,,,,,,2806867.0,43774395.0,11.0,11.5,9.75,10.0,7590968,0.0,0.0,1750975.8,351,721231.29,3528098.29,17509758.0,21037856.29
2022-11-02,,,,,,,,,,,,2806867.0,43774395.0,9.75,10.25,8.75,9.0,10154796,0.0,0.0,1750975.8,352,723286.08,3530153.08,15758782.200000001,19288935.28
2022-11-03,,,,,,,,,,,,2806867.0,43774395.0,8.5,9.0,7.5,7.5,9274860,0.0,0.0,1750975.8,353,725340.87,3532207.87,13132318.5,16664526.370000001
2022-11-04,,,,,,,,,,,,2806867.0,43774395.0,7.5,7.5,6.75,7.0,10728972,0.0,0.0,1750975.8,354,727395.66,3534262.66,12256830.6,15791093.26
2022-11-07,,,,,,,,,,,,2806867.0,43774395.0,7.0,7.0,6.25,6.75,6829868,0.0,0.0,1750975.8,357,733560.03,3540427.0300000003,11819086.65,15359513.68
2022-11-08,,,,,,,,,,,,2806867.0,43774395.0,6.5,7.5,6.5,7.0,9234640,0.0,0.0,1750975.8,358,735614.82,3542481.82,12256830.6,15799312.42
2022-11-09,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Stock Award(Grant) at price 0.00 per share.,Direct,0.0,24623002.0,68397397.0,,2806867.0,68397397.0,8.0,8.0,6.75,6.75,9677784,0.0,0.0,2735895.88,359,737669.61,3544536.61,18467297.189999998,22011833.799999997
2022-11-09,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Stock Gift at price 0.00 per share.,Direct,0.0,-12311501.0,56085896.0,,2806867.0,56085896.0,8.0,8.0,6.75,6.75,9677784,0.0,0.0,2243435.84,359,737669.61,3544536.61,15143191.919999998,18687728.529999997
2022-11-10,,,,,,,,,,,,2806867.0,56085896.0,7.25,8.25,6.75,8.25,9035112,0.0,0.0,2243435.84,360,739724.4,3546591.4,18508345.68,22054937.08
2022-11-11,,,,,,,,,,,,2806867.0,56085896.0,7.75,8.25,7.25,7.75,7716300,0.0,0.0,2243435.84,361,741779.19,3548646.19,17386627.759999998,20935273.95
2022-11-14,,,,,,,,,,,,2806867.0,56085896.0,7.75,8.0,7.25,7.5,6136336,0.0,0.0,2243435.84,364,747943.5599999999,3554810.56,16825768.799999997,20380579.359999996
2022-11-15,,,,,,,,,,,,2806867.0,56085896.0,7.75,7.75,7.25,7.25,6748176,0.0,0.0,2243435.84,365,749998.35,3556865.35,16264909.84,19821775.19
2022-11-16,,,,,,,,,,,,2806867.0,56085896.0,7.0,7.25,6.5,6.75,6549900,0.0,0.0,2243435.84,366,752053.14,3558920.14,15143191.919999998,18702112.06
2022-11-17,,,,,,,,,,,,2806867.0,56085896.0,7.25,8.25,6.75,6.75,9437656,0.0,0.0,2243435.84,367,754107.9299999999,3560974.9299999997,15143191.919999998,18704166.849999998
2022-11-18,,,,,,,,,,,,2806867.0,56085896.0,7.0,7.0,6.75,6.75,5124872,0.0,0.0,2243435.84,368,756162.72,3563029.7199999997,15143191.919999998,18706221.639999997
2022-11-21,,,,,,,,,,,,2806867.0,56085896.0,6.75,6.75,6.25,6.5,6395268,0.0,0.0,2243435.84,371,762327.09,3569194.09,14582332.959999999,18151527.049999997
2022-11-22,,,,,,,,,,,,2806867.0,56085896.0,6.0,6.25,5.75,5.75,6382364,0.0,0.0,2243435.84,372,764381.88,3571248.88,12899756.079999998,16471004.959999997
2022-11-23,,,,,,,,,,,,2806867.0,56085896.0,5.75,6.0,5.0,5.0,11122212,0.0,0.0,2243435.84,373,766436.67,3573303.67,11217179.2,14790482.87
2022-11-25,,,,,,,,,,,,2806867.0,56085896.0,5.25,5.25,4.75,5.0,6731316,0.0,0.0,2243435.84,375,770546.25,3577413.25,11217179.2,14794592.45
2022-11-28,,,,,,,,,,,,2806867.0,56085896.0,5.0,5.0,4.75,4.75,4944404,0.0,0.0,2243435.84,378,776710.62,3583577.62,10656320.239999998,14239897.86
2022-11-29,,,,,,,,,,,,2806867.0,56085896.0,5.0,5.25,4.75,5.0,7552268,0.0,0.0,2243435.84,379,778765.41,3585632.41,11217179.2,14802811.61
2022-11-30,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Stock Award(Grant) at price 0.00 per share.,Direct,0.0,28765426.0,84851322.0,,2806867.0,84851322.0,5.0,5.0,4.5,4.75,7652396,0.0,0.0,3394052.88,380,780820.2,3587687.2,16121751.18,19709438.38
2022-11-30,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Stock Gift at price 0.00 per share.,Direct,0.0,-5300000.0,79551322.0,,2806867.0,79551322.0,5.0,5.0,4.5,4.75,7652396,0.0,0.0,3182052.88,380,780820.2,3587687.2,15114751.18,18702438.38
2022-12-01,MICHERY DAVID,David,Michery,David Michery,Chief Executive Officer,Stock Gift at price 0.00 per share.,Direct,0.0,-50000.0,79501322.0,,2806867.0,79501322.0,5.5,6.0,5.25,5.5,15811232,0.0,0.0,3180052.88,381,782874.99,3589741.99,17490290.84,21080032.83
2022-12-02,,,,,,,,,,,,2806867.0,79501322.0,5.0,5.25,5.0,5.0,7069500,0.0,0.0,3180052.88,382,784929.78,3591796.7800000003,15900264.399999999,19492061.18
2022-12-05,,,,,,,,,,,,2806867.0,79501322.0,5.25,5.25,4.75,5.0,4658700,0.0,0.0,3180052.88,385,791094.15,3597961.15,15900264.399999999,19498225.549999997
2022-12-06,,,,,,,,,,,,2806867.0,79501322.0,5.0,5.0,4.75,4.75,4436104,0.0,0.0,3180052.88,386,793148.94,3600015.94,15105251.18,18705267.12
